Datum (MESZ),Kernenergie,Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion
,Leistung (MW),Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2019-07-13T12:00+02:00,7584.76,17944.47,29729.05,37.87
2019-07-13T13:00+02:00,7574.15,17397.11,31332.53,34.7
2019-07-13T14:00+02:00,7579,17037.05,32228.59,33.94
2019-07-13T15:00+02:00,7577.02,16331.49,32815.87,33.51
2019-07-13T16:00+02:00,7582.43,16246.88,31698.91,33.56
2019-07-13T17:00+02:00,7577.87,16972.99,28951.7,34.71
2019-07-13T18:00+02:00,7570.17,17439.05,25916.88,36.91
2019-07-13T19:00+02:00,7556.47,17779.9,21979.24,37.98
2019-07-13T20:00+02:00,7570.58,18097.44,18931.89,37.79
2019-07-13T21:00+02:00,7574.51,17972.73,16945.73,37.72
2019-07-13T22:00+02:00,7579.01,18092.88,15837.95,41.2
2019-07-13T23:00+02:00,7581.41,17890.51,15390.37,38.17
2019-07-14T00:00+02:00,7577.9,16718.91,14585.12,35.85
2019-07-14T01:00+02:00,7594.6,16273.75,14275.07,35.04
2019-07-14T02:00+02:00,7585.42,15772.26,14424.68,33.77
2019-07-14T03:00+02:00,7587.85,15086.82,14817.57,32.69
2019-07-14T04:00+02:00,7601.68,14338.78,14692.78,32.15
2019-07-14T05:00+02:00,7598.99,14347.13,14537.11,32.14
2019-07-14T06:00+02:00,7594.8,14810.49,14846.49,32.29
2019-07-14T07:00+02:00,7598.49,15555.62,16111.06,33.92
2019-07-14T08:00+02:00,7589.37,16248.38,18108.26,35.46
2019-07-14T09:00+02:00,7586.88,16907.53,20553.04,36.92
2019-07-14T10:00+02:00,7585.12,16625.82,22465.03,37
2019-07-14T11:00+02:00,7578.76,17332.79,24148.22,37.16
2019-07-14T12:00+02:00,7584.44,16747.47,25429.68,36.43
2019-07-14T13:00+02:00,7585.1,16020.32,26290.16,34.04
2019-07-14T14:00+02:00,7584.4,15483.53,26804.09,32.14
2019-07-14T15:00+02:00,7582.95,15071.31,26525.31,32.04
2019-07-14T16:00+02:00,7584.27,15336.67,25481.68,32.17
2019-07-14T17:00+02:00,7580.09,16162.98,23045.39,34.94
2019-07-14T18:00+02:00,7576.67,17350.68,20749.05,37.84
2019-07-14T19:00+02:00,7577.73,18731.49,17960.92,38.97
2019-07-14T20:00+02:00,7581.63,18881.83,15822.56,39.91
2019-07-14T21:00+02:00,7588.48,19340.69,14924.76,39.05
2019-07-14T22:00+02:00,7581.87,19624.96,14403.1,43.72
2019-07-14T23:00+02:00,7572.46,19369.98,13986.94,39.11
2019-07-15T00:00+02:00,7589.29,19340.97,13659.25,37.8
2019-07-15T01:00+02:00,7597.58,19024.31,12930,36.58
2019-07-15T02:00+02:00,7597.75,18705.42,12676.88,36.45
2019-07-15T03:00+02:00,7600.69,18701.63,12905.35,35.16
2019-07-15T04:00+02:00,7602.06,19441.3,13274.69,34.93
2019-07-15T05:00+02:00,7601.27,20913.79,13305.86,36.84
2019-07-15T06:00+02:00,7594.81,22971.98,14367.15,44.91
2019-07-15T07:00+02:00,7601.79,24435.07,16241.34,50.02
2019-07-15T08:00+02:00,7600.1,25378.71,19631.03,50.06
2019-07-15T09:00+02:00,7591.53,25700.2,23631.32,47.94
2019-07-15T10:00+02:00,7595.98,25433.7,26949.06,46.2
2019-07-15T11:00+02:00,7595.98,25039.93,29377.01,45.3
2019-07-15T12:00+02:00,7588.26,24378.69,30771.44,44
2019-07-15T13:00+02:00,7578.16,24091.77,32293.8,41
2019-07-15T14:00+02:00,7571.93,23556.25,33390.2,38.56
2019-07-15T15:00+02:00,7572.87,23148.35,33415.23,37.78
2019-07-15T16:00+02:00,7570.78,22997.24,32511.35,37.26
2019-07-15T17:00+02:00,7462.36,24013.48,29986.41,37.77
2019-07-15T18:00+02:00,7261.59,25446.43,26814.19,42.56
2019-07-15T19:00+02:00,7086.73,25886.24,23759.44,45.94
2019-07-15T20:00+02:00,7042.39,26051.6,21030.72,44.08
2019-07-15T21:00+02:00,7040.75,26172.61,19755.48,43.44
2019-07-15T22:00+02:00,7043.24,25811.85,19646.53,44.6
2019-07-15T23:00+02:00,7053.58,24447.62,19111.38,38.16
2019-07-16T00:00+02:00,7130.76,22755.09,18289.08,36.82
2019-07-16T01:00+02:00,7380.84,22014.74,17628.01,36.27
2019-07-16T02:00+02:00,7564.18,21687.93,17393.07,34.93
2019-07-16T03:00+02:00,7586.11,21244.33,17529.67,33.89
2019-07-16T04:00+02:00,7591.13,21384.24,17526.09,33.13
2019-07-16T05:00+02:00,7586.39,22860.9,17842.11,35.11
2019-07-16T06:00+02:00,7585.54,25585.77,18840.67,39.21
2019-07-16T07:00+02:00,7496.47,26615.61,21237.43,46.95
2019-07-16T08:00+02:00,7313.64,26871.34,25213.55,49.14
2019-07-16T09:00+02:00,7295.1,26892.37,29548.94,47.95
2019-07-16T10:00+02:00,7298.24,26578.72,33189.93,47.13
2019-07-16T11:00+02:00,7290.19,25913.25,36079.01,46.92
2019-07-16T12:00+02:00,7305.71,25446.22,38028.32,42.07
2019-07-16T13:00+02:00,7320.42,24910.21,39475.38,39.9
2019-07-16T14:00+02:00,7318.79,23914.27,40322.95,39.46
2019-07-16T15:00+02:00,7314.24,24010.91,38913.03,39.04
2019-07-16T16:00+02:00,7312.66,24049.8,35446.9,39.3
2019-07-16T17:00+02:00,7313.59,25091.89,30985.88,45.38
2019-07-16T18:00+02:00,7320.66,26576.47,25696.3,48.81
2019-07-16T19:00+02:00,7452.66,27555.73,20714.35,52.64
2019-07-16T20:00+02:00,7561.56,27569.91,16668.87,51.96
2019-07-16T21:00+02:00,7564.34,27768.11,15052.74,49.19
2019-07-16T22:00+02:00,7562.19,27506.7,15018.95,49
2019-07-16T23:00+02:00,7564.5,26307.45,14745.37,45.19
2019-07-17T00:00+02:00,7558.19,24363,14083.04,40.02
2019-07-17T01:00+02:00,7555.82,24035.68,13288.1,38.87
2019-07-17T02:00+02:00,7560.44,22925.8,12126.26,38.12
2019-07-17T03:00+02:00,7566.7,22852.88,11233.4,37.28
2019-07-17T04:00+02:00,7565.4,23526.41,10418.31,37.9
2019-07-17T05:00+02:00,7570.16,24812.92,9764.17,39.1
2019-07-17T06:00+02:00,7576.82,26604.9,10545.33,44.03
2019-07-17T07:00+02:00,7586.09,27376.44,12931.7,53.92
2019-07-17T08:00+02:00,7577.66,27482.76,16927.63,54.8
2019-07-17T09:00+02:00,7563.79,27663.65,21525.43,50.23
2019-07-17T10:00+02:00,7555.57,27130.59,25529.67,48.78
2019-07-17T11:00+02:00,7515.46,26356.26,29189.14,47.7
2019-07-17T12:00+02:00,7329.77,25687.81,31236.24,45
2019-07-17T13:00+02:00,7279.93,25039.64,31613.64,43.14
2019-07-17T14:00+02:00,7271.13,24508.74,30979.22,40.52
2019-07-17T15:00+02:00,7284.04,24051.32,29235.27,40.55
2019-07-17T16:00+02:00,7372.27,25406.18,26650.19,41.6
2019-07-17T17:00+02:00,7411.59,27131.52,22450.36,48
2019-07-17T18:00+02:00,7498.77,27859.6,17479.89,52
2019-07-17T19:00+02:00,7528.71,27797.82,12844.43,54.01
2019-07-17T20:00+02:00,7526.21,27683.14,9842.27,55.03
