Datum (MESZ),Kernenergie,Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion
,Leistung (MW),Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2019-04-09T19:00+02:00,9273.72,32434.74,22747.97,47.01
2019-04-09T20:00+02:00,9098.52,32513.9,23644.17,45.94
2019-04-09T21:00+02:00,9242.05,31684.46,25001.77,42.76
2019-04-09T22:00+02:00,9309.84,30929.29,24727.05,42.01
2019-04-09T23:00+02:00,9331.81,29872.94,23672.3,39.07
2019-04-10T00:00+02:00,9325.63,28784.56,22107.58,37.51
2019-04-10T01:00+02:00,9331.97,28697.21,20669.54,37.18
2019-04-10T02:00+02:00,9272.48,28481.68,20251.06,36.54
2019-04-10T03:00+02:00,9280.65,28071.34,19575.49,35.78
2019-04-10T04:00+02:00,9242.42,28437.23,19541.92,36.63
2019-04-10T05:00+02:00,9224.21,29628.65,20062.93,38.55
2019-04-10T06:00+02:00,9261.51,31750.29,21214.99,46.99
2019-04-10T07:00+02:00,9322.83,32724.67,22201.54,54.43
2019-04-10T08:00+02:00,9345.79,32939.34,24080.39,58.02
2019-04-10T09:00+02:00,9346.69,32920.88,27937.41,50.59
2019-04-10T10:00+02:00,9345.64,31941.63,33775.17,46.21
2019-04-10T11:00+02:00,9342.21,30519.12,37267.88,44.44
2019-04-10T12:00+02:00,9315.64,29870.96,38066.45,41.16
2019-04-10T13:00+02:00,9321.5,29847.1,37542.05,39.98
2019-04-10T14:00+02:00,9331.15,29358.14,36583.38,38.22
2019-04-10T15:00+02:00,9326.17,29752.18,34155.74,37.6
2019-04-10T16:00+02:00,9326.96,30175.38,31266.41,38.12
2019-04-10T17:00+02:00,9318.2,30699.76,28365.2,42.6
2019-04-10T18:00+02:00,9327.94,31714.83,25175.14,46.5
2019-04-10T19:00+02:00,9327.35,32385.03,22788.16,47.2
2019-04-10T20:00+02:00,9319.8,32349.09,23607.71,46.97
2019-04-10T21:00+02:00,9312.39,31952.12,25359.59,44.56
2019-04-10T22:00+02:00,9333.65,30802.75,25566.28,42.6
2019-04-10T23:00+02:00,9343.06,29990.91,24690.42,39.23
2019-04-11T00:00+02:00,9308.52,28388.44,23437.64,37.5
2019-04-11T01:00+02:00,9343.57,27523.49,22039.65,37.07
2019-04-11T02:00+02:00,9360.49,27270.76,20648.21,37.07
2019-04-11T03:00+02:00,9371.08,27733.9,19628.76,36.52
2019-04-11T04:00+02:00,9378.71,28750.61,18731.06,37.1
2019-04-11T05:00+02:00,9383.14,31169.2,18325.1,38.87
2019-04-11T06:00+02:00,9391.8,33694.26,18204.5,47.91
2019-04-11T07:00+02:00,9399.36,34416.01,19368.36,56.4
2019-04-11T08:00+02:00,9412.52,34431.53,21575.59,59.24
2019-04-11T09:00+02:00,9383.44,34137.43,26319.81,51.7
2019-04-11T10:00+02:00,9366.01,33495.74,32975.59,48.55
2019-04-11T11:00+02:00,9372.54,33005.84,35832.77,45.98
2019-04-11T12:00+02:00,9374.01,32589.02,34776.16,43.95
2019-04-11T13:00+02:00,9369.59,31926.45,33624.07,39.86
2019-04-11T14:00+02:00,9355.1,31651.99,32576.65,38.9
2019-04-11T15:00+02:00,9365.6,31727.28,30206.46,39.28
2019-04-11T16:00+02:00,9370.17,31716.82,27893.25,39
2019-04-11T17:00+02:00,9367.86,32733.92,24742.7,43.92
2019-04-11T18:00+02:00,9359.06,33875.43,20901.41,47.69
2019-04-11T19:00+02:00,9357.14,33976,18203.56,54.02
2019-04-11T20:00+02:00,9360.22,34143.32,17712.86,52.99
2019-04-11T21:00+02:00,9353.87,33669.14,18150.62,49.02
2019-04-11T22:00+02:00,9367.94,32723.6,17856.09,47.2
2019-04-11T23:00+02:00,9357.2,31851.81,17301.17,44.05
2019-04-12T00:00+02:00,9362.43,31216.07,16924.03,39.59
2019-04-12T01:00+02:00,9367.25,31057.05,16426.38,39.01
2019-04-12T02:00+02:00,9372.91,30777.44,16208.02,37.95
2019-04-12T03:00+02:00,9386.04,30678.43,16029.33,37.22
2019-04-12T04:00+02:00,9374.81,30648.38,16135.15,37.5
2019-04-12T05:00+02:00,9399.78,31604.49,16230.28,41.05
2019-04-12T06:00+02:00,9400.91,33684.88,16403.57,49.62
2019-04-12T07:00+02:00,9402.67,34498.85,17550.92,58.98
2019-04-12T08:00+02:00,9393.19,34538.91,20623.76,60.08
2019-04-12T09:00+02:00,9391.69,34381.12,25302.87,51.55
2019-04-12T10:00+02:00,9392.67,33866.46,29799.52,48.97
2019-04-12T11:00+02:00,9392.85,33342.73,31528.95,46.99
2019-04-12T12:00+02:00,9398.67,32644.08,31706.3,45.1
2019-04-12T13:00+02:00,9384.69,31413.63,30793.64,44.11
2019-04-12T14:00+02:00,9392.17,31201.06,29206.82,42.11
2019-04-12T15:00+02:00,9392.08,31527.23,27069.05,40.67
2019-04-12T16:00+02:00,9392.79,31489.02,23119.93,38.57
2019-04-12T17:00+02:00,9393.28,32002.09,20850.16,41.73
2019-04-12T18:00+02:00,9384.14,32511.12,18149.84,46.43
2019-04-12T19:00+02:00,9388.51,32635.29,15923.94,48.43
